race_id,race_name,event_id,event_name,distance,start_time
32802,Farm Bureau Watermelon Classic 5k Run/Walk,1155721,2026 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2026 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,987494,2025 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2025 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,843361,2024 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2024 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,698223,2023 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2023 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,609109,2022 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2022 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,495705,2021 Farm Bureau Watermelon Classic 5k RUN,5K,7/3/2021 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,407416,2020 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2020 00:00
32802,Farm Bureau Watermelon Classic 5k Run/Walk,308814,2019 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2019 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,233263,2018 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2018 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,147717,2017 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2017 07:30
32802,Farm Bureau Watermelon Classic 5k Run/Walk,103043,2016 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2016 07:30
