name,appearances,avg_age_graded_pct,avg_finish_position,speed_score,dominance_score,participation_score,goat_index
Nathan Tarver,5,72.97489699819592,23.2,44.567354760768055,28.272964268576217,20.0,92.84031902934427
Will Porter,4,76.21753753100924,3.25,46.547705770939544,29.815750384094603,16.0,92.36345615503414
Ryan Crandall,5,70.93193060097349,16.6,43.31967080457705,28.959462072443344,20.0,92.2791328770204
Peter Kazery,3,77.99115048634692,3.3333333333333335,47.63088972926405,29.791537443350947,12.0,89.42242717261499
Dominic Ward-McCammon,3,76.57972834570164,4.666666666666667,46.76890356899723,29.719415950083988,12.0,88.48831951908122
Cooper Fulton,4,69.91915027634867,11.75,42.70114386066927,29.17020453464383,16.0,87.8713483953131
Evan Hallford,3,75.71421476584754,7.666666666666667,46.24031562505573,29.434715600954753,12.0,87.67503122601047
Xavier Jacobs,4,69.87858419088832,16.0,42.676369271100306,28.848239215323865,16.0,87.52460848642417
Daniel Scoggin,3,74.8967827220664,6.333333333333333,45.74109211962325,29.563936566900885,12.0,87.30502868652414
Ethan Kelley,2,79.84588642515992,2.0,48.76361725575399,29.905956112852664,8.0,86.66957336860665
Joshua Moore,2,79.34241545402122,1.0,48.45613659726069,30.0,8.0,86.4561365972607
Cody Wallace,4,68.59906263893394,25.25,41.89493766549751,28.157858059227614,16.0,86.05279572472512
Tony Huffman,2,81.20764086792133,27.0,49.59527027403917,28.32078186366641,8.0,85.91605213770558
Carl Bryant,5,68.79957812431454,81.0,42.01739682802576,23.662445914754183,20.0,85.67984274277994
Armando Marquez,2,81.8703481392557,31.0,50.0,27.59413480351155,8.0,85.59413480351155
Peter Davis,5,62.09253142754618,46.4,37.92125771954161,26.76588343452183,20.0,84.68714115406344
Caleb Hammons,2,76.63732356542849,9.0,46.80407822077036,29.309089177159287,8.0,84.11316739792964
Bill Barrett,4,65.30574502462666,36.0,39.88363706084783,27.364367530847627,16.0,83.24800459169546
David Slowik,4,65.11071167248568,44.75,39.76452595617215,27.209737621516084,16.0,82.97426357768823
